Année,Mois,Valeur
2014,11,123.7
2014,10,127.4
2014,9,
2014,8,
2014,7,
2014,6,112.9
2014,5,112.9
2014,4,108.6
2014,3,105.0
2014,2,104.7
2014,1,104.2
2013,12,104.7
2013,11,112.8
2013,10,115.4
2013,9,
2013,8,
2013,7,
2013,6,130.1
2013,5,129.4
2013,4,122.8
2013,3,120.9
2013,2,65.1
2013,1,120.1
2012,12,121.8
2012,11,126.9
2012,10,126.9
2012,9,
2012,8,
2012,7,
2012,6,134.0
2012,5,134.0
2012,4,137.0
2012,3,136.9
2012,2,134.3
2012,1,133.2
2011,12,134.6
2011,11,136.0
2011,10,136.4
2011,9,
2011,8,
2011,7,
2011,6,108.0
2011,5,109.2
2011,4,109.2
2011,3,109.2
2011,2,110.1
2011,1,115.7
2010,12,117.7
2010,11,119.0
2010,10,111.5
2010,9,
2010,8,
2010,7,
2010,6,84.1
2010,5,84.1
2010,4,84.6
2010,3,85.3
2010,2,85.3
2010,1,89.7
2009,12,91.0
2009,11,99.8
2009,10,85.5
2009,9,
2009,8,
2009,7,
2009,6,84.2
2009,5,84.2
2009,4,84.2
2009,3,84.2
2009,2,84.4
2009,1,92.2
2008,12,97.1
2008,11,98.3
2008,10,100.2
2008,9,
2008,8,
2008,7,
2008,6,142.9
2008,5,139.8
2008,4,134.0
2008,3,123.5
2008,2,110.6
2008,1,104.2
2007,12,105.5
2007,11,112.1
2007,10,112.1
2007,9,
2007,8,
2007,7,
2007,6,108.0
2007,5,109.5
2007,4,100.4
2007,3,93.0
2007,2,102.1
2007,1,107.9
2006,12,118.4
2006,11,128.2
2006,10,123.7
2006,9,
2006,8,
2006,7,
2006,6,154.0
2006,5,151.7
2006,4,135.5
2006,3,136.3
2006,2,138.8
2006,1,136.8
2005,12,130.1
2005,11,146.2
2005,10,144.6
2005,9,
2005,8,
2005,7,
2005,6,85.4
2005,5,83.1
2005,4,68.8
2005,3,68.2
2005,2,68.2
2005,1,72.0
2004,12,97.0
2004,11,115.5
2004,10,119.0
2004,9,
2004,8,
2004,7,
2004,6,94.3
2004,5,93.0
2004,4,91.9
2004,3,91.9
2004,2,92.3
2004,1,91.6
2003,12,94.2
2003,11,153.5
2003,10,144.4
2003,9,
2003,8,
2003,7,
2003,6,113.4
2003,5,115.4
2003,4,110.9
2003,3,95.3
2003,2,95.2
2003,1,99.1
2002,12,100.9
2002,11,101.6
2002,10,102.1
2002,9,
2002,8,
2002,7,
2002,6,87.4
2002,5,99.9
2002,4,99.9
2002,3,94.4
2002,2,94.6
2002,1,97.1
2001,12,89.6
2001,11,89.6
2001,10,89.7
2001,9,
2001,8,
2001,7,
2001,6,73.1
2001,5,73.1
2001,4,61.3
2001,3,57.8
2001,2,57.2
2001,1,64.9
2000,12,69.3
2000,11,77.9
2000,10,92.2
2000,9,
2000,8,
2000,7,
2000,6,71.6
2000,5,71.6
2000,4,63.8
2000,3,66.8
2000,2,66.8
2000,1,56.6
