Année,Mois,Valeur
2014,11,
2014,10,102.9
2014,9,102.9
2014,8,91.7
2014,7,111.5
2014,6,103.5
2014,5,124.8
2014,4,
2014,3,
2014,2,
2014,1,
2013,12,
2013,11,
2013,10,105.0
2013,9,67.9
2013,8,93.1
2013,7,143.8
2013,6,116.8
2013,5,169.7
2013,4,
2013,3,
2013,2,
2013,1,
2012,12,
2012,11,
2012,10,96.9
2012,9,96.9
2012,8,99.3
2012,7,111.6
2012,6,123.4
2012,5,
2012,4,
2012,3,
2012,2,
2012,1,
2011,12,
2011,11,
2011,10,148.3
2011,9,134.7
2011,8,147.6
2011,7,138.8
2011,6,105.8
2011,5,179.8
2011,4,
2011,3,
2011,2,
2011,1,
2010,12,
2010,11,
2010,10,127.3
2010,9,87.9
2010,8,95.3
2010,7,128.9
2010,6,147.7
2010,5,189.7
2010,4,
2010,3,
2010,2,
2010,1,
2009,12,
2009,11,
2009,10,156.6
2009,9,113.0
2009,8,105.4
2009,7,97.7
2009,6,102.8
2009,5,136.2
2009,4,
2009,3,
2009,2,
2009,1,
2008,12,
2008,11,
2008,10,219.9
2008,9,141.2
2008,8,114.6
2008,7,239.5
2008,6,163.8
2008,5,166.6
2008,4,
2008,3,
2008,2,
2008,1,
2007,12,
2007,11,
2007,10,103.1
2007,9,88.5
2007,8,124.2
2007,7,123.4
2007,6,149.6
2007,5,238.1
2007,4,
2007,3,
2007,2,
2007,1,
2006,12,
2006,11,
2006,10,118.0
2006,9,118.0
2006,8,85.7
2006,7,130.4
2006,6,156.9
2006,5,127.2
2006,4,
2006,3,
2006,2,
2006,1,
2005,12,
2005,11,
2005,10,111.5
2005,9,92.6
2005,8,82.1
2005,7,74.3
2005,6,120.2
2005,5,139.4
2005,4,
2005,3,
2005,2,
2005,1,
2004,12,
2004,11,
2004,10,102.2
2004,9,107.9
2004,8,93.5
2004,7,79.0
2004,6,135.9
2004,5,187.5
2004,4,
2004,3,
2004,2,
2004,1,
2003,12,
2003,11,
2003,10,223.5
2003,9,223.5
2003,8,142.1
2003,7,134.9
2003,6,148.8
2003,5,194.7
2003,4,
2003,3,
2003,2,
2003,1,
2002,12,
2002,11,
2002,10,159.1
2002,9,85.4
2002,8,85.9
2002,7,96.1
2002,6,136.7
2002,5,189.0
2002,4,
2002,3,
2002,2,
2002,1,
2001,12,
2001,11,
2001,10,81.9
2001,9,88.9
2001,8,91.0
2001,7,112.0
2001,6,167.1
2001,5,180.1
2001,4,
2001,3,
2001,2,
2001,1,
2000,12,
2000,11,
2000,10,56.8
2000,9,87.8
2000,8,80.6
2000,7,82.9
2000,6,134.0
2000,5,186.9
