Année,Mois,Valeur
2014,11,
2014,10,
2014,9,85.9
2014,8,71.1
2014,7,71.5
2014,6,115.0
2014,5,114.1
2014,4,
2014,3,
2014,2,
2014,1,
2013,12,
2013,11,
2013,10,
2013,9,52.4
2013,8,57.1
2013,7,68.9
2013,6,111.3
2013,5,138.5
2013,4,
2013,3,
2013,2,
2013,1,
2012,12,
2012,11,
2012,10,
2012,9,90.1
2012,8,89.6
2012,7,98.2
2012,6,176.6
2012,5,
2012,4,
2012,3,
2012,2,
2012,1,
2011,12,
2011,11,
2011,10,
2011,9,63.6
2011,8,58.2
2011,7,58.9
2011,6,98.3
2011,5,129.0
2011,4,
2011,3,
2011,2,
2011,1,
2010,12,
2010,11,
2010,10,
2010,9,47.4
2010,8,59.4
2010,7,69.9
2010,6,141.3
2010,5,198.3
2010,4,
2010,3,
2010,2,
2010,1,
2009,12,
2009,11,
2009,10,
2009,9,60.9
2009,8,55.1
2009,7,58.8
2009,6,88.1
2009,5,173.8
2009,4,
2009,3,
2009,2,
2009,1,
2008,12,
2008,11,
2008,10,
2008,9,74.9
2008,8,72.4
2008,7,73.7
2008,6,108.1
2008,5,152.0
2008,4,
2008,3,
2008,2,
2008,1,
2007,12,
2007,11,
2007,10,
2007,9,72.0
2007,8,65.8
2007,7,61.8
2007,6,112.3
2007,5,175.8
2007,4,
2007,3,
2007,2,
2007,1,
2006,12,
2006,11,
2006,10,
2006,9,54.4
2006,8,68.9
2006,7,65.4
2006,6,87.4
2006,5,112.8
2006,4,
2006,3,
2006,2,
2006,1,
2005,12,
2005,11,
2005,10,
2005,9,64.0
2005,8,66.7
2005,7,80.0
2005,6,140.9
2005,5,189.6
2005,4,
2005,3,
2005,2,
2005,1,
2004,12,
2004,11,
2004,10,
2004,9,78.2
2004,8,77.5
2004,7,87.4
2004,6,151.3
2004,5,170.8
2004,4,
2004,3,
2004,2,
2004,1,
2003,12,
2003,11,
2003,10,
2003,9,69.7
2003,8,81.4
2003,7,95.4
2003,6,143.9
2003,5,149.6
2003,4,
2003,3,
2003,2,
2003,1,
2002,12,
2002,11,
2002,10,
2002,9,50.2
2002,8,48.4
2002,7,56.7
2002,6,83.2
2002,5,128.6
2002,4,
2002,3,
2002,2,
2002,1,
2001,12,
2001,11,
2001,10,
2001,9,83.2
2001,8,70.2
2001,7,83.2
2001,6,113.7
2001,5,154.4
2001,4,
2001,3,
2001,2,
2001,1,
2000,12,
2000,11,
2000,10,
2000,9,72.9
2000,8,64.8
2000,7,70.5
2000,6,107.2
2000,5,144.6
