Année,Mois,Valeur
2014,11,
2014,10,114.0
2014,9,114.0
2014,8,116.9
2014,7,137.2
2014,6,
2014,5,
2014,4,
2014,3,
2014,2,
2014,1,
2013,12,
2013,11,
2013,10,98.6
2013,9,104.5
2013,8,114.9
2013,7,114.5
2013,6,
2013,5,
2013,4,
2013,3,
2013,2,
2013,1,
2012,12,
2012,11,
2012,10,156.9
2012,9,143.5
2012,8,128.5
2012,7,164.4
2012,6,
2012,5,
2012,4,
2012,3,
2012,2,
2012,1,
2011,12,
2011,11,
2011,10,108.2
2011,9,108.2
2011,8,103.1
2011,7,117.3
2011,6,
2011,5,
2011,4,
2011,3,
2011,2,
2011,1,
2010,12,
2010,11,
2010,10,75.7
2010,9,81.3
2010,8,92.4
2010,7,109.4
2010,6,
2010,5,
2010,4,
2010,3,
2010,2,
2010,1,
2009,12,
2009,11,
2009,10,77.5
2009,9,76.2
2009,8,68.5
2009,7,104.6
2009,6,
2009,5,
2009,4,
2009,3,
2009,2,
2009,1,
2008,12,
2008,11,
2008,10,164.0
2008,9,164.0
2008,8,161.8
2008,7,150.4
2008,6,
2008,5,
2008,4,
2008,3,
2008,2,
2008,1,
2007,12,
2007,11,
2007,10,68.5
2007,9,76.6
2007,8,82.3
2007,7,117.7
2007,6,
2007,5,
2007,4,
2007,3,
2007,2,
2007,1,
2006,12,
2006,11,
2006,10,73.5
2006,9,76.1
2006,8,93.7
2006,7,103.0
2006,6,
2006,5,
2006,4,
2006,3,
2006,2,
2006,1,
2005,12,
2005,11,
2005,10,118.6
2005,9,90.7
2005,8,95.1
2005,7,116.3
2005,6,
2005,5,
2005,4,
2005,3,
2005,2,
2005,1,
2004,12,
2004,11,
2004,10,93.2
2004,9,87.4
2004,8,98.8
2004,7,123.2
2004,6,
2004,5,
2004,4,
2004,3,
2004,2,
2004,1,
2003,12,
2003,11,
2003,10,88.0
2003,9,95.8
2003,8,104.2
2003,7,131.0
2003,6,
2003,5,
2003,4,
2003,3,
2003,2,
2003,1,
2002,12,
2002,11,
2002,10,94.3
2002,9,71.2
2002,8,69.4
2002,7,88.1
2002,6,
2002,5,
2002,4,
2002,3,
2002,2,
2002,1,
2001,12,
2001,11,
2001,10,94.5
2001,9,91.6
2001,8,81.1
2001,7,87.5
2001,6,
2001,5,
2001,4,
2001,3,
2001,2,
2001,1,
2000,12,
2000,11,
2000,10,99.5
2000,9,86.1
2000,8,74.7
2000,7,77.7
