Année,Mois,Valeur
2014,11,218.5
2014,10,174.5
2014,9,147.2
2014,8,210.6
2014,7,284.4
2014,6,
2014,5,
2014,4,
2014,3,118.0
2014,2,118.0
2014,1,118.0
2013,12,124.1
2013,11,132.5
2013,10,111.5
2013,9,129.7
2013,8,166.8
2013,7,254.9
2013,6,
2013,5,
2013,4,
2013,3,216.1
2013,2,216.1
2013,1,216.1
2012,12,174.4
2012,11,148.6
2012,10,116.0
2012,9,115.1
2012,8,148.5
2012,7,275.3
2012,6,
2012,5,
2012,4,
2012,3,173.0
2012,2,173.0
2012,1,173.0
2011,12,175.7
2011,11,145.3
2011,10,134.4
2011,9,108.4
2011,8,144.9
2011,7,235.2
2011,6,
2011,5,
2011,4,
2011,3,158.5
2011,2,158.5
2011,1,158.5
2010,12,152.6
2010,11,129.0
2010,10,89.2
2010,9,95.0
2010,8,142.6
2010,7,198.5
2010,6,
2010,5,
2010,4,
2010,3,145.7
2010,2,145.7
2010,1,145.7
2009,12,127.5
2009,11,110.8
2009,10,92.9
2009,9,82.9
2009,8,115.0
2009,7,177.9
2009,6,
2009,5,
2009,4,
2009,3,121.8
2009,2,121.8
2009,1,121.8
2008,12,112.0
2008,11,111.9
2008,10,110.6
2008,9,121.2
2008,8,140.6
2008,7,209.7
2008,6,
2008,5,
2008,4,
2008,3,162.3
2008,2,162.3
2008,1,162.3
2007,12,132.5
2007,11,115.5
2007,10,100.6
2007,9,94.0
2007,8,121.2
2007,7,162.1
2007,6,
2007,5,
2007,4,
2007,3,92.7
2007,2,92.7
2007,1,92.7
2006,12,98.0
2006,11,102.4
2006,10,89.3
2006,9,88.1
2006,8,127.7
2006,7,193.6
2006,6,
2006,5,
2006,4,
2006,3,95.9
2006,2,95.9
2006,1,104.7
2005,12,104.6
2005,11,101.3
2005,10,85.8
2005,9,78.1
2005,8,105.9
2005,7,162.5
2005,6,
2005,5,
2005,4,
2005,3,159.6
2005,2,159.6
2005,1,159.6
2004,12,106.7
2004,11,105.9
2004,10,97.3
2004,9,106.3
2004,8,123.6
2004,7,163.9
2004,6,
2004,5,
2004,4,
2004,3,90.2
2004,2,90.2
2004,1,90.2
2003,12,89.0
2003,11,79.7
2003,10,86.9
2003,9,80.4
2003,8,110.5
2003,7,184.3
2003,6,
2003,5,
2003,4,
2003,3,105.6
2003,2,105.6
2003,1,105.6
2002,12,103.7
2002,11,114.2
2002,10,100.0
2002,9,94.7
2002,8,109.5
2002,7,227.9
2002,6,
2002,5,
2002,4,
2002,3,102.2
2002,2,102.2
2002,1,102.2
2001,12,97.2
2001,11,89.7
2001,10,83.2
2001,9,85.6
2001,8,104.6
2001,7,171.3
2001,6,
2001,5,
2001,4,
2001,3,102.7
2001,2,102.7
2001,1,136.4
2000,12,131.8
2000,11,97.4
2000,10,77.2
2000,9,73.1
2000,8,87.6
2000,7,133.4
2000,6,
2000,5,
2000,4,
2000,3,117.8
2000,2,117.8
2000,1,118.2
