Année,Mois,Valeur
2014,11,
2014,10,
2014,9,110.4
2014,8,94.3
2014,7,96.5
2014,6,139.7
2014,5,
2014,4,
2014,3,
2014,2,
2014,1,
2013,12,
2013,11,
2013,10,
2013,9,103.4
2013,8,109.3
2013,7,131.3
2013,6,185.8
2013,5,223.0
2013,4,
2013,3,
2013,2,
2013,1,
2012,12,
2012,11,
2012,10,
2012,9,109.2
2012,8,112.0
2012,7,120.1
2012,6,203.0
2012,5,
2012,4,
2012,3,
2012,2,
2012,1,
2011,12,
2011,11,
2011,10,
2011,9,83.4
2011,8,73.4
2011,7,73.9
2011,6,108.7
2011,5,150.8
2011,4,
2011,3,
2011,2,
2011,1,
2010,12,
2010,11,
2010,10,
2010,9,59.7
2010,8,70.6
2010,7,76.4
2010,6,124.6
2010,5,233.1
2010,4,
2010,3,
2010,2,
2010,1,
2009,12,
2009,11,
2009,10,
2009,9,81.4
2009,8,77.1
2009,7,83.0
2009,6,108.3
2009,5,197.9
2009,4,
2009,3,
2009,2,
2009,1,
2008,12,
2008,11,
2008,10,
2008,9,96.7
2008,8,97.0
2008,7,98.3
2008,6,138.5
2008,5,196.1
2008,4,
2008,3,
2008,2,
2008,1,
2007,12,
2007,11,
2007,10,
2007,9,99.1
2007,8,90.9
2007,7,77.8
2007,6,135.3
2007,5,216.4
2007,4,
2007,3,
2007,2,
2007,1,
2006,12,
2006,11,
2006,10,
2006,9,65.6
2006,8,85.9
2006,7,88.7
2006,6,118.6
2006,5,130.0
2006,4,
2006,3,
2006,2,
2006,1,
2005,12,
2005,11,
2005,10,
2005,9,65.8
2005,8,68.9
2005,7,76.0
2005,6,128.4
2005,5,196.5
2005,4,
2005,3,
2005,2,
2005,1,
2004,12,
2004,11,
2004,10,
2004,9,97.0
2004,8,94.0
2004,7,105.7
2004,6,162.9
2004,5,201.5
2004,4,
2004,3,
2004,2,
2004,1,
2003,12,
2003,11,
2003,10,
2003,9,117.5
2003,8,147.8
2003,7,192.2
2003,6,176.2
2003,5,156.0
2003,4,
2003,3,
2003,2,
2003,1,
2002,12,
2002,11,
2002,10,
2002,9,53.1
2002,8,51.4
2002,7,60.5
2002,6,73.0
2002,5,140.0
2002,4,
2002,3,
2002,2,
2002,1,
2001,12,
2001,11,
2001,10,
2001,9,91.9
2001,8,88.8
2001,7,109.6
2001,6,143.7
2001,5,166.8
2001,4,
2001,3,
2001,2,
2001,1,
2000,12,
2000,11,
2000,10,
2000,9,80.0
2000,8,74.4
2000,7,85.1
2000,6,106.9
2000,5,159.1
