Année,Mois,Valeur
2014,11,85.1
2014,10,86.3
2014,9,89.0
2014,8,98.8
2014,7,
2014,6,
2014,5,
2014,4,
2014,3,99.8
2014,2,101.4
2014,1,99.0
2013,12,100.3
2013,11,102.6
2013,10,104.5
2013,9,111.3
2013,8,123.4
2013,7,
2013,6,
2013,5,
2013,4,
2013,3,111.9
2013,2,72.1
2013,1,126.6
2012,12,125.6
2012,11,125.0
2012,10,121.0
2012,9,121.2
2012,8,121.3
2012,7,
2012,6,
2012,5,
2012,4,
2012,3,111.7
2012,2,104.2
2012,1,101.9
2011,12,101.9
2011,11,102.5
2011,10,102.3
2011,9,105.2
2011,8,110.0
2011,7,
2011,6,
2011,5,
2011,4,
2011,3,120.2
2011,2,123.3
2011,1,124.1
2010,12,121.0
2010,11,118.5
2010,10,120.4
2010,9,122.9
2010,8,119.9
2010,7,
2010,6,
2010,5,
2010,4,
2010,3,97.3
2010,2,95.5
2010,1,87.5
2009,12,83.6
2009,11,83.0
2009,10,89.8
2009,9,95.9
2009,8,100.4
2009,7,
2009,6,
2009,5,
2009,4,
2009,3,142.7
2009,2,146.4
2009,1,138.1
2008,12,123.9
2008,11,121.1
2008,10,118.5
2008,9,121.4
2008,8,121.0
2008,7,
2008,6,
2008,5,
2008,4,
2008,3,118.0
2008,2,118.3
2008,1,105.4
2007,12,100.3
2007,11,98.9
2007,10,100.7
2007,9,107.1
2007,8,109.4
2007,7,
2007,6,
2007,5,
2007,4,
2007,3,90.2
2007,2,92.3
2007,1,91.8
2006,12,91.3
2006,11,94.5
2006,10,96.2
2006,9,100.6
2006,8,106.4
2006,7,
2006,6,
2006,5,
2006,4,
2006,3,97.9
2006,2,97.1
2006,1,92.5
2005,12,86.1
2005,11,83.6
2005,10,85.0
2005,9,81.2
2005,8,78.1
2005,7,
2005,6,
2005,5,
2005,4,
2005,3,117.3
2005,2,117.6
2005,1,118.1
2004,12,74.8
2004,11,73.0
2004,10,69.9
2004,9,77.8
2004,8,80.8
2004,7,
2004,6,
2004,5,
2004,4,
2004,3,111.0
2004,2,116.7
2004,1,112.3
2003,12,103.9
2003,11,105.8
2003,10,101.9
2003,9,99.9
2003,8,100.8
2003,7,
2003,6,
2003,5,
2003,4,
2003,3,92.1
2003,2,88.1
2003,1,84.1
2002,12,85.3
2002,11,89.1
2002,10,87.2
2002,9,90.1
2002,8,88.3
2002,7,
2002,6,
2002,5,
2002,4,
2002,3,93.9
2002,2,104.3
2002,1,98.6
2001,12,96.2
2001,11,94.9
2001,10,94.9
2001,9,94.9
2001,8,85.9
2001,7,
2001,6,
2001,5,
2001,4,
2001,3,91.7
2001,2,88.2
2001,1,86.5
2000,12,86.1
2000,11,87.0
2000,10,80.8
2000,9,91.0
2000,8,89.7
2000,7,
2000,6,
2000,5,
2000,4,
2000,3,113.2
2000,2,112.0
2000,1,110.9
