Année,Mois,Valeur
2014,11,44.2
2014,10,44.8
2014,9,45.6
2014,8,49.4
2014,7,49.4
2014,6,51.4
2014,5,52.0
2014,4,51.5
2014,3,51.1
2014,2,51.6
2014,1,51.5
2013,12,50.5
2013,11,52.6
2013,10,54.9
2013,9,63.6
2013,8,71.4
2013,7,67.7
2013,6,65.0
2013,5,62.6
2013,4,60.9
2013,3,60.1
2013,2,60.1
2013,1,60.1
2012,12,59.2
2012,11,59.0
2012,10,58.2
2012,9,57.9
2012,8,59.2
2012,7,58.6
2012,6,59.6
2012,5,59.6
2012,4,59.6
2012,3,58.8
2012,2,56.9
2012,1,56.7
2011,12,57.3
2011,11,59.4
2011,10,60.4
2011,9,65.2
2011,8,66.5
2011,7,66.6
2011,6,67.3
2011,5,66.5
2011,4,67.2
2011,3,65.4
2011,2,65.9
2011,1,64.5
2010,12,64.0
2010,11,64.3
2010,10,70.9
2010,9,75.1
2010,8,65.9
2010,7,65.3
2010,6,68.0
2010,5,68.3
2010,4,68.4
2010,3,66.9
2010,2,63.6
2010,1,62.0
2009,12,61.0
2009,11,61.2
2009,10,63.1
2009,9,67.2
2009,8,70.1
2009,7,74.2
2009,6,76.5
2009,5,77.2
2009,4,78.4
2009,3,79.9
2009,2,80.5
2009,1,78.8
2008,12,77.5
2008,11,77.6
2008,10,80.0
2008,9,83.9
2008,8,93.4
2008,7,94.3
2008,6,89.1
2008,5,89.4
2008,4,87.6
2008,3,85.9
2008,2,82.8
2008,1,80.2
2007,12,79.1
2007,11,80.7
2007,10,83.9
2007,9,89.4
2007,8,93.6
2007,7,86.9
2007,6,88.0
2007,5,87.5
2007,4,86.8
2007,3,85.2
2007,2,84.8
2007,1,83.3
2006,12,83.3
2006,11,86.0
2006,10,88.0
2006,9,95.4
2006,8,102.7
2006,7,95.8
2006,6,95.2
2006,5,89.5
2006,4,89.6
2006,3,87.5
2006,2,86.8
2006,1,85.6
2005,12,83.8
2005,11,84.1
2005,10,84.9
2005,9,94.9
2005,8,109.0
2005,7,110.4
2005,6,111.6
2005,5,109.1
2005,4,107.0
2005,3,103.2
2005,2,101.5
2005,1,102.6
2004,12,102.3
2004,11,103.5
2004,10,108.2
2004,9,115.3
2004,8,115.7
2004,7,114.0
2004,6,111.3
2004,5,111.9
2004,4,110.8
2004,3,107.5
2004,2,100.9
2004,1,100.8
2003,12,100.7
2003,11,99.5
2003,10,90.4
2003,9,92.2
2003,8,84.1
2003,7,84.3
2003,6,81.8
2003,5,80.9
2003,4,82.5
2003,3,83.3
2003,2,79.6
2003,1,76.6
2002,12,74.6
2002,11,74.4
2002,10,76.3
2002,9,85.3
2002,8,94.9
2002,7,95.0
2002,6,95.0
2002,5,94.2
2002,4,93.8
2002,3,92.1
2002,2,89.6
2002,1,87.1
2001,12,84.7
2001,11,84.3
2001,10,84.0
2001,9,93.9
2001,8,109.5
2001,7,91.0
2001,6,83.7
2001,5,81.1
2001,4,77.4
2001,3,75.1
2001,2,72.5
2001,1,71.4
2000,12,71.5
2000,11,70.4
2000,10,69.1
2000,9,73.4
2000,8,84.4
2000,7,83.3
2000,6,83.2
2000,5,82.2
2000,4,81.0
2000,3,80.7
2000,2,78.0
2000,1,77.1
