année,mois,valeur
2014,11,125,5
2014,10,120,7
2014,9,104,1
2014,8,100,9
2014,7,96,3
2014,6,95,7
2014,5,101,7
2014,4,87,3
2014,3,95,8
2014,2,95,9
2014,1,91,5
2013,12,92,9
2013,11,106,5
2013,10,106,9
2013,9,103,0
2013,8,108,9
2013,7,120,7
2013,6,130,7
2013,5,158,7
2013,4,136,2
2013,3,124,8
2013,2,96,3
2013,1,101,0
2012,12,98,8
2012,11,108,5
2012,10,107,1
2012,9,101,4
2012,8,101,2
2012,7,107,3
2012,6,126,9
2012,5,105,7
2012,4,99,3
2012,3,108,7
2012,2,93,7
2012,1,85,9
2011,12,90,7
2011,11,102,1
2011,10,109,1
2011,9,93,6
2011,8,99,5
2011,7,97,7
2011,6,102,0
2011,5,110,2
2011,4,100,9
2011,3,115,5
2011,2,108,0
2011,1,97,4
2010,12,97,7
2010,11,102,6
2010,10,95,8
2010,9,83,7
2010,8,94,5
2010,7,104,9
2010,6,108,2
2010,5,119,7
2010,4,90,2
2010,3,109,5
2010,2,97,9
2010,1,98,0
2009,12,96,9
2009,11,101,3
2009,10,98,2
2009,9,82,0
2009,8,84,7
2009,7,87,7
2009,6,94,4
2009,5,113,5
2009,4,101,2
2009,3,110,5
2009,2,100,8
2009,1,90,5
2008,12,87,0
2008,11,92,9
2008,10,105,9
2008,9,105,0
2008,8,107,0
2008,7,131,2
2008,6,126,1
2008,5,119,4
2008,4,111,8
2008,3,110,2
2008,2,107,0
2008,1,99,9
2007,12,91,7
2007,11,97,0
2007,10,99,3
2007,9,90,2
2007,8,101,2
2007,7,108,1
2007,6,118,0
2007,5,120,1
2007,4,94,3
2007,3,91,0
2007,2,87,7
2007,1,78,1
2006,12,77,2
2006,11,89,8
2006,10,90,9
2006,9,82,3
2006,8,86,8
2006,7,94,1
2006,6,98,1
2006,5,96,0
2006,4,84,4
2006,3,94,1
2006,2,94,8
2006,1,91,0
2005,12,91,1
2005,11,98,4
2005,10,97,6
2005,9,87,1
2005,8,89,8
2005,7,88,4
2005,6,103,8
2005,5,114,2
2005,4,93,7
2005,3,127,6
2005,2,105,8
2005,1,93,7
2004,12,98,7
2004,11,100,3
2004,10,96,4
2004,9,94,1
2004,8,93,1
2004,7,101,5
2004,6,122,8
2004,5,124,9
2004,4,105,5
2004,3,110,0
2004,2,106,9
2004,1,106,8
2003,12,104,2
2003,11,102,0
2003,10,110,4
2003,9,103,4
2003,8,102,9
2003,7,117,2
2003,6,133,4
2003,5,122,6
2003,4,105,2
2003,3,105,5
2003,2,91,1
2003,1,80,4
2002,12,83,8
2002,11,88,7
2002,10,93,7
2002,9,86,1
2002,8,81,3
2002,7,94,0
2002,6,96,9
2002,5,99,3
2002,4,97,8
2002,3,99,1
2002,2,88,6
2002,1,84,9
2001,12,86,2
2001,11,86,8
2001,10,89,5
2001,9,87,2
2001,8,87,7
2001,7,98,6
2001,6,108,2
2001,5,112,9
2001,4,96,2
2001,3,103,5
2001,2,91,0
2001,1,87,8
2000,12,87,1
2000,11,87,7
2000,10,81,7
2000,9,80,5
2000,8,76,9
2000,7,80,2
2000,6,92,3
2000,5,110,0
2000,4,135,9
2000,3,127,6
2000,2,113,5
2000,1,82,5
