année,mois,valeur
2014,11,161,2
2014,10,149,1
2014,9,152,1
2014,8,140,6
2014,7,143,4
2014,6,150,1
2014,5,137,5
2014,4,152,3
2014,3,163,8
2014,2,161,9
2014,1,168,8
2013,12,180,0
2013,11,144,1
2013,10,115,4
2013,9,126,3
2013,8,125,7
2013,7,131,3
2013,6,131,0
2013,5,147,4
2013,4,153,3
2013,3,163,8
2013,2,142,0
2013,1,144,4
2012,12,150,6
2012,11,138,4
2012,10,118,0
2012,9,115,9
2012,8,115,2
2012,7,122,7
2012,6,123,5
2012,5,124,9
2012,4,125,9
2012,3,144,5
2012,2,147,1
2012,1,116,2
2011,12,112,3
2011,11,112,8
2011,10,95,9
2011,9,92,9
2011,8,93,6
2011,7,96,1
2011,6,95,1
2011,5,100,1
2011,4,108,5
2011,3,121,2
2011,2,135,3
2011,1,135,1
2010,12,139,9
2010,11,125,8
2010,10,113,5
2010,9,111,3
2010,8,109,2
2010,7,111,1
2010,6,109,7
2010,5,124,5
2010,4,140,4
2010,3,179,7
2010,2,143,1
2010,1,130,1
2009,12,103,4
2009,11,92,4
2009,10,86,3
2009,9,75,9
2009,8,76,0
2009,7,77,8
2009,6,81,0
2009,5,90,9
2009,4,100,8
2009,3,111,8
2009,2,108,9
2009,1,117,4
2008,12,106,8
2008,11,96,1
2008,10,94,1
2008,9,84,5
2008,8,79,7
2008,7,85,7
2008,6,93,9
2008,5,96,6
2008,4,101,7
2008,3,102,2
2008,2,91,3
2008,1,104,1
2007,12,110,4
2007,11,102,8
2007,10,96,9
2007,9,98,9
2007,8,96,9
2007,7,111,0
2007,6,105,9
2007,5,102,8
2007,4,123,4
2007,3,118,1
2007,2,105,7
2007,1,123,7
2006,12,113,7
2006,11,109,4
2006,10,100,3
2006,9,107,4
2006,8,103,9
2006,7,95,8
2006,6,92,4
2006,5,96,6
2006,4,102,4
2006,3,110,7
2006,2,109,7
2006,1,110,2
2005,12,106,5
2005,11,89,0
2005,10,86,7
2005,9,80,7
2005,8,88,7
2005,7,86,3
2005,6,87,6
2005,5,91,1
2005,4,94,0
2005,3,138,2
2005,2,132,3
2005,1,120,6
2004,12,105,6
2004,11,107,1
2004,10,94,2
2004,9,88,3
2004,8,75,8
2004,7,84,8
2004,6,84,6
2004,5,97,7
2004,4,108,8
2004,3,117,5
2004,2,105,8
2004,1,118,9
2003,12,114,5
2003,11,108,6
2003,10,113,0
2003,9,140,6
2003,8,112,4
2003,7,94,5
2003,6,97,6
2003,5,91,4
2003,4,104,8
2003,3,124,4
2003,2,131,8
2003,1,113,6
2002,12,98,4
2002,11,90,8
2002,10,87,9
2002,9,94,0
2002,8,84,5
2002,7,89,7
2002,6,89,3
2002,5,88,8
2002,4,100,9
2002,3,127,8
2002,2,129,5
2002,1,149,5
2001,12,121,5
2001,11,101,0
2001,10,95,6
2001,9,100,6
2001,8,97,3
2001,7,89,7
2001,6,95,1
2001,5,116,6
2001,4,121,3
2001,3,116,1
2001,2,106,8
2001,1,117,1
2000,12,113,1
2000,11,117,8
2000,10,104,3
2000,9,95,3
2000,8,99,3
2000,7,98,0
2000,6,91,5
2000,5,88,1
2000,4,105,9
2000,3,118,3
2000,2,122,7
2000,1,132,6
