année,mois,valeur
2014,11,134,6
2014,10,130,3
2014,9,133,1
2014,8,126,2
2014,7,128,2
2014,6,126,2
2014,5,122,9
2014,4,122,2
2014,3,124,6
2014,2,122,7
2014,1,124,3
2013,12,128,7
2013,11,130,3
2013,10,128,7
2013,9,128,7
2013,8,121,8
2013,7,120,4
2013,6,118,2
2013,5,116,8
2013,4,118,3
2013,3,119,4
2013,2,114,5
2013,1,130,4
2012,12,139,9
2012,11,138,6
2012,10,137,7
2012,9,135,5
2012,8,134,5
2012,7,133,3
2012,6,137,6
2012,5,138,4
2012,4,139,0
2012,3,144,1
2012,2,129,3
2012,1,126,8
2011,12,124,3
2011,11,118,8
2011,10,115,5
2011,9,119,3
2011,8,122,8
2011,7,121,6
2011,6,116,0
2011,5,113,6
2011,4,111,8
2011,3,113,5
2011,2,111,0
2011,1,109,4
2010,12,111,9
2010,11,109,9
2010,10,110,1
2010,9,113,7
2010,8,107,9
2010,7,106,6
2010,6,109,1
2010,5,110,1
2010,4,113,2
2010,3,116,8
2010,2,112,8
2010,1,114,9
2009,12,118,2
2009,11,116,0
2009,10,113,1
2009,9,111,9
2009,8,108,6
2009,7,108,5
2009,6,110,4
2009,5,114,6
2009,4,117,3
2009,3,117,2
2009,2,114,3
2009,1,114,9
2008,12,117,4
2008,11,116,1
2008,10,114,9
2008,9,116,5
2008,8,114,2
2008,7,116,4
2008,6,116,0
2008,5,114,1
2008,4,116,5
2008,3,119,7
2008,2,120,4
2008,1,121,9
2007,12,126,2
2007,11,125,7
2007,10,120,6
2007,9,118,4
2007,8,113,1
2007,7,108,2
2007,6,106,2
2007,5,103,6
2007,4,104,9
2007,3,105,7
2007,2,105,0
2007,1,102,4
2006,12,104,4
2006,11,105,4
2006,10,103,6
2006,9,103,9
2006,8,100,6
2006,7,99,9
2006,6,98,0
2006,5,98,2
2006,4,98,9
2006,3,100,3
2006,2,99,8
2006,1,98,7
2005,12,102,0
2005,11,103,9
2005,10,106,2
2005,9,105,7
2005,8,102,7
2005,7,99,5
2005,6,97,8
2005,5,95,9
2005,4,95,2
2005,3,100,1
2005,2,96,0
2005,1,94,9
2004,12,98,6
2004,11,98,0
2004,10,98,7
2004,9,101,7
2004,8,97,6
2004,7,101,1
2004,6,100,4
2004,5,98,8
2004,4,99,7
2004,3,104,9
2004,2,107,3
2004,1,109,0
2003,12,116,2
2003,11,118,9
2003,10,115,5
2003,9,113,8
2003,8,107,7
2003,7,105,6
2003,6,105,7
2003,5,107,3
2003,4,107,0
2003,3,108,1
2003,2,105,9
2003,1,105,3
2002,12,108,4
2002,11,109,8
2002,10,108,0
2002,9,106,5
2002,8,103,7
2002,7,103,9
2002,6,103,1
2002,5,103,2
2002,4,103,3
2002,3,106,3
2002,2,105,9
2002,1,106,8
2001,12,110,0
2001,11,109,5
2001,10,106,6
2001,9,107,0
2001,8,105,0
2001,7,104,6
2001,6,102,5
2001,5,102,1
2001,4,101,9
2001,3,101,8
2001,2,101,9
2001,1,101,5
2000,12,101,4
2000,11,101,5
2000,10,101,0
2000,9,100,7
2000,8,100,6
2000,7,100,5
2000,6,100,4
2000,5,100,5
2000,4,100,6
2000,3,100,5
2000,2,100,7
2000,1,100,6
