année,mois,valeur
2014,11,115,2
2014,10,113,3
2014,9,116,4
2014,8,114,8
2014,7,116,4
2014,6,119,5
2014,5,120,3
2014,4,120,9
2014,3,118,4
2014,2,115,9
2014,1,117,9
2013,12,117,9
2013,11,116,2
2013,10,116,6
2013,9,119,6
2013,8,117,7
2013,7,121,0
2013,6,121,0
2013,5,121,0
2013,4,121,5
2013,3,119,3
2013,2,91,2
2013,1,115,6
2012,12,115,0
2012,11,115,5
2012,10,117,8
2012,9,119,6
2012,8,115,5
2012,7,114,5
2012,6,114,5
2012,5,115,7
2012,4,118,0
2012,3,118,0
2012,2,117,2
2012,1,116,3
2011,12,115,9
2011,11,115,4
2011,10,113,4
2011,9,112,9
2011,8,112,6
2011,7,113,4
2011,6,115,2
2011,5,117,1
2011,4,115,2
2011,3,111,7
2011,2,109,0
2011,1,109,1
2010,12,107,8
2010,11,105,4
2010,10,104,9
2010,9,106,7
2010,8,103,5
2010,7,104,0
2010,6,107,1
2010,5,106,4
2010,4,106,0
2010,3,104,0
2010,2,103,4
2010,1,105,7
2009,12,103,7
2009,11,101,8
2009,10,101,3
2009,9,104,1
2009,8,102,2
2009,7,104,2
2009,6,108,4
2009,5,108,7
2009,4,107,1
2009,3,106,0
2009,2,105,2
2009,1,107,5
2008,12,106,2
2008,11,105,0
2008,10,108,2
2008,9,112,2
2008,8,108,4
2008,7,109,7
2008,6,113,3
2008,5,113,1
2008,4,110,4
2008,3,111,7
2008,2,108,1
2008,1,109,0
2007,12,108,0
2007,11,109,0
2007,10,111,8
2007,9,112,6
2007,8,105,4
2007,7,101,1
2007,6,101,7
2007,5,101,3
2007,4,101,4
2007,3,99,4
2007,2,97,8
2007,1,99,8
2006,12,99,6
2006,11,101,5
2006,10,101,8
2006,9,105,6
2006,8,101,0
2006,7,102,8
2006,6,107,8
2006,5,107,2
2006,4,106,0
2006,3,106,1
2006,2,101,8
2006,1,102,3
2005,12,102,4
2005,11,103,5
2005,10,99,8
2005,9,100,7
2005,8,98,4
2005,7,97,9
2005,6,100,8
2005,5,99,4
2005,4,98,4
2005,3,100,0
2005,2,99,5
2005,1,99,1
2004,12,97,4
2004,11,98,9
2004,10,98,0
2004,9,99,1
2004,8,94,0
2004,7,95,6
2004,6,99,9
2004,5,98,3
2004,4,98,5
2004,3,100,3
2004,2,97,1
2004,1,95,8
2003,12,93,3
2003,11,94,9
2003,10,95,3
2003,9,98,6
2003,8,90,0
2003,7,91,4
2003,6,92,9
2003,5,97,6
2003,4,94,5
2003,3,94,5
2003,2,94,0
2003,1,94,9
2002,12,94,2
2002,11,95,2
2002,10,93,1
2002,9,93,2
2002,8,85,4
2002,7,85,9
2002,6,89,0
2002,5,92,0
2002,4,91,1
2002,3,94,4
2002,2,91,8
2002,1,94,6
2001,12,94,9
2001,11,94,7
2001,10,93,1
2001,9,96,9
2001,8,93,1
2001,7,92,6
2001,6,100,2
2001,5,105,0
2001,4,106,1
2001,3,105,3
2001,2,98,2
2001,1,97,1
2000,12,95,2
2000,11,96,4
2000,10,93,3
2000,9,93,4
2000,8,90,9
2000,7,92,3
2000,6,95,1
2000,5,95,0
2000,4,92,5
2000,3,92,2
2000,2,90,6
2000,1,91,0
