"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"CHOLET",49099,-0.880303, 47.058123,01/01/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/01/2005,3,3,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,03/01/2005,3,3,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/01/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,06/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/01/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,10/01/2005,3,3,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,11/01/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,12/01/2005,3,3,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,13/01/2005,2,2,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,14/01/2005,2,2,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,15/01/2005,2,2,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,16/01/2005,3,2,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,17/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/01/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,20/01/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,21/01/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,22/01/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,23/01/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,24/01/2005,3,3,1,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,25/01/2005,3,3,1,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,26/01/2005,2,2,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,27/01/2005,2,2,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,28/01/2005,3,3,1,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,29/01/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,30/01/2005,4,2,4,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,31/01/2005,2,2,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,01/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,03/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,06/02/2005,3,3,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/02/2005,4,3,3,4,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/02/2005,4,3,4,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/02/2005,4,4,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,10/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,11/02/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,12/02/2005,3,3,,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,13/02/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,14/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,15/02/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,16/02/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,17/02/2005,3,3,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/02/2005,3,2,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/02/2005,3,3,2,1,1,"VERT"
