"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,01/01/2005,3,3,,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,02/01/2005,4,4,,2,,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,03/01/2005,4,3,4,4,,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,04/01/2005,2,2,2,2,,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,05/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,06/01/2005,4,3,3,4,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,07/01/2005,2,2,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,08/01/2005,3,3,,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,09/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,10/01/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,11/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,12/01/2005,3,3,2,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,13/01/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,14/01/2005,2,2,1,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,15/01/2005,2,2,,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,16/01/2005,2,2,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,17/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,18/01/2005,4,4,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,19/01/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,20/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,21/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,22/01/2005,3,3,,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,23/01/2005,3,3,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,24/01/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,25/01/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,26/01/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,27/01/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,28/01/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,29/01/2005,2,2,,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,30/01/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,31/01/2005,3,2,3,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,01/02/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,02/02/2005,2,2,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,03/02/2005,3,3,2,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,04/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,05/02/2005,3,3,,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,06/02/2005,3,3,1,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,07/02/2005,3,3,1,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,08/02/2005,4,3,4,4,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,09/02/2005,4,4,4,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,10/02/2005,4,4,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,11/02/2005,4,4,1,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,12/02/2005,4,4,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,13/02/2005,4,4,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,14/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,15/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,16/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,17/02/2005,3,3,3,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,18/02/2005,3,2,3,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,19/02/2005,3,3,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,20/02/2005,3,3,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,21/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,22/02/2005,3,3,3,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,23/02/2005,4,3,3,4,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,24/02/2005,4,4,3,3,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,25/02/2005,4,4,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,26/02/2005,5,5,4,2,1,"ORANGE"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,27/02/2005,4,4,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,28/02/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,01/03/2005,4,4,3,4,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,02/03/2005,4,4,2,4,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,03/03/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,04/03/2005,3,3,2,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,05/03/2005,3,3,2,1,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,06/03/2005,4,4,3,2,1,"VERT"
"LA ROCHE-SUR-YON",85191,-1.428868, 46.669476,07/03/2005,4,4,4,3,1,"VERT"
