"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LE MANS",72181, 0.196304, 48.003684,01/01/2005,3,3,1,1,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,02/01/2005,3,3,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,03/01/2005,3,2,2,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,04/01/2005,3,2,2,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,05/01/2005,3,3,1,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,06/01/2005,3,3,2,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,07/01/2005,2,2,1,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,08/01/2005,3,3,2,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,09/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,10/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,11/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,12/01/2005,3,3,3,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,13/01/2005,3,1,3,3,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,14/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,15/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,16/01/2005,3,1,3,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,17/01/2005,3,3,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,18/01/2005,3,3,1,1,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,19/01/2005,3,3,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,20/01/2005,3,3,1,1,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,21/01/2005,3,3,1,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,22/01/2005,2,2,2,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,23/01/2005,3,3,1,2,1,"VERT"
"LE MANS",72181, 0.196304, 48.003684,24/01/2005,3,3,1,2,1,"VERT"
