"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/01/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/01/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/01/2005,3,3,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/01/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/01/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/01/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/01/2005,4,3,4,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/01/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/01/2005,3,3,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/01/2005,3,3,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/01/2005,3,3,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/01/2005,4,2,2,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/01/2005,2,2,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/01/2005,2,2,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/01/2005,4,2,4,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/01/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/01/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/01/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/01/2005,4,4,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/01/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/01/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/01/2005,3,3,1,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/01/2005,3,2,3,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,29/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,30/01/2005,2,2,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,31/01/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/02/2005,3,3,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/02/2005,3,2,3,3,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/02/2005,4,3,3,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/02/2005,4,3,3,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/02/2005,4,3,4,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/02/2005,4,3,4,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/02/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/02/2005,4,4,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/02/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/02/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/02/2005,3,3,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/02/2005,3,3,3,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/02/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/02/2005,3,3,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/02/2005,3,3,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/02/2005,3,3,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/02/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/02/2005,3,3,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/02/2005,5,5,3,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/02/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/03/2005,4,4,3,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/03/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/03/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/03/2005,3,3,2,2,1,"VERT"
